v,w,weight
"Balu, Suresh","Ratliff, William",1
"Balu, Suresh","Sendak, Mark",1
"Banaji, Mahzarin R.","Caliskan, Aylin",1
"Banaji, Mahzarin R.","Wolfe, Robert",1
"Bao, Michelle","Birhane, Abeba",1
"Bao, Michelle","Card, Dallas",1
"Bao, Michelle","Dotan, Ravit",1
"Bao, Michelle","Kalluri, Pratyusha",1
"Bao, Zhifeng","Choudhury, Farhana",1
"Bao, Zhifeng","Luo, Hui",1
"Bao, Zhifeng","Qin, A. K.",1
"Bao, Zhifeng","Tedjopurnomo, David",1
"Barabas, Chelsea","Dinakar, Karthik",1
"Barabas, Chelsea","Doyle, Colin",1
"Barabas, Chelsea","Rubinovitz, JB",1
"Baraniuk, Richard","Barberan, Cj",1
"Baraniuk, Richard","Liu, Naiming",1
"Barberan, Cj","Liu, Naiming",1
"Barbosa, Gabriel Diniz Junqueira","Barbosa, Simone Diniz Junqueira",1
"Barbosa, Gabriel Diniz Junqueira","Leit\~{a}o, Carla Faria",1
"Barbosa, Gabriel Diniz Junqueira","Souza, Clarisse Sieckenius de",1
"Barbosa, Simone Diniz Junqueira","Leit\~{a}o, Carla Faria",1
"Barbosa, Simone Diniz Junqueira","Souza, Clarisse Sieckenius de",1
"Barghouti, Bissan","Bintz, Corinne",1
"Barghouti, Bissan","Dailey, Dharma",1
"Barghouti, Bissan","Epstein, Micah",1
"Barghouti, Bissan","Guetler, Vivian",1
"Barghouti, Bissan","Herman, Bernease",1
"Barghouti, Bissan","Jobe, Pa Ousman",1
"Barghouti, Bissan","Katell, Michael",1
"Barghouti, Bissan","Krafft, P. M.",1
"Barghouti, Bissan","Lee, Jennifer E.",1
"Barghouti, Bissan","Narayan, Shankar",1
"Barghouti, Bissan","Putz, Franziska",1
"Barghouti, Bissan","Raz, Daniella",1
"Barghouti, Bissan","Robick, Brian",1
"Barghouti, Bissan","Tam, Aaron",1
"Barghouti, Bissan","Young, Meg",1
"Barlas, P\i{}nar","Kasinidou, Maria",1
"Barlas, P\i{}nar","Kleanthous, Styliani",1
"Barlas, P\i{}nar","Otterbacher, Jahna",1
"Barnes, Parker","Denton, Emily",1
"Barnes, Parker","Gebru, Timnit",2
"Barnes, Parker","Greer, Christina",1
"Barnes, Parker","Hanna, Alex",1
"Barnes, Parker","Hutchinson, Ben",3
"Barnes, Parker","Kjartansson, Oddur",1
"Barnes, Parker","Mitchell, Margaret",3
"Barnes, Parker","Raji, Inioluwa Deborah",2
"Barnes, Parker","Smart, Andrew",2
"Barnes, Parker","Smith-Loud, Jamila",1
"Barnes, Parker","Spitzer, Elena",1
"Barnes, Parker","Theron, Daniel",1
"Barnes, Parker","Vasserman, Lucy",1
"Barnes, Parker","White, Rebecca N.",1
"Barnes, Parker","Wu, Simone",1
"Barnes, Parker","Zaldivar, Andrew",1
"Barocas, Solon","Biega, Asia J.",1
"Barocas, Solon","Black, Emily",1
"Barocas, Solon","Blodgett, Su Lin",1
"Barocas, Solon","Campbell, Rosie",1
"Barocas, Solon","Daum\'{e}, Hal",1
